/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=135, top10p_weight=0.05546, time=1.87
iter=136, top10p_weight=0.003763, time=1.85
iter=137, top10p_weight=0.06833, time=2.29
iter=138, top10p_weight=0.06501, time=1.95
iter=139, top10p_weight=0.07233, time=1.82
iter=140, top10p_weight=0.05319, time=1.9
particles reset
iter=141, top10p_weight=0.0006777, time=2.3
iter=142, top10p_weight=0.03694, time=1.65
iter=143, top10p_weight=0.01813, time=2.15
iter=144, top10p_weight=0.05803, time=2.25
iter=145, top10p_weight=0.06557, time=2.25
iter=146, top10p_weight=0.06051, time=2.25
iter=147, top10p_weight=0.07903, time=2.25
iter=148, top10p_weight=0.07659, time=2.25
iter=149, top10p_weight=0.04955, time=2.25
iter=150, top10p_weight=0.03451, time=2.25
iter=151, top10p_weight=0.0294, time=2.25
iter=152, top10p_weight=0.03299, time=2.25
iter=153, top10p_weight=0.03686, time=2.35
iter=154, top10p_weight=0.03554, time=2.28
iter=155, top10p_weight=0.04644, time=2.18
iter=156, top10p_weight=0.0422, time=1.95
iter=157, top10p_weight=0.05175, time=1.85
iter=158, top10p_weight=0.04932, time=1.73
iter=159, top10p_weight=0.05452, time=1.66
iter=160, top10p_weight=0.04445, time=1.65
iter=161, top10p_weight=0.06884, time=1.55
iter=162, top10p_weight=0.04487, time=1.55
iter=163, top10p_weight=0.05468, time=1.55
iter=164, top10p_weight=0.04029, time=1.55
iter=165, top10p_weight=0.004939, time=1.45
iter=166, top10p_weight=0.004171, time=1.57
iter=167, top10p_weight=0.04754, time=1.57
iter=168, top10p_weight=0.05502, time=1.48
iter=169, top10p_weight=0.06264, time=1.47
iter=170, top10p_weight=0.04078, time=1.37
iter=171, top10p_weight=0.003788, time=1.51
iter=172, top10p_weight=0.04557, time=1.48
iter=173, top10p_weight=0.0515, time=1.47
iter=174, top10p_weight=0.05781, time=1.37
iter=175, top10p_weight=0.06153, time=1.37
iter=176, top10p_weight=0.06087, time=1.27
iter=177, top10p_weight=0.06102, time=1.3
iter=178, top10p_weight=0.05316, time=1.43
iter=179, top10p_weight=0.04275, time=1.36
iter=180, top10p_weight=0.04093, time=1.7
iter=181, top10p_weight=0.05912, time=1.52
iter=182, top10p_weight=0.0488, time=1.58
iter=183, top10p_weight=0.05292, time=1.72
iter=184, top10p_weight=0.04411, time=1.68
iter=185, top10p_weight=0.04344, time=1.72
iter=186, top10p_weight=0.05708, time=1.72
iter=187, top10p_weight=0.05173, time=1.72
iter=188, top10p_weight=0.05171, time=1.68
iter=189, top10p_weight=0.04101, time=1.63
iter=190, top10p_weight=0.0364, time=1.62
iter=191, top10p_weight=0.04308, time=1.62
iter=192, top10p_weight=0.03925, time=1.75
iter=193, top10p_weight=0.04619, time=1.58
iter=194, top10p_weight=0.006111, time=1.65
iter=195, top10p_weight=0.02271, time=1.73
iter=196, top10p_weight=0.0663, time=1.68
iter=197, top10p_weight=0.0643, time=1.61
iter=198, top10p_weight=0.06414, time=1.7
iter=199, top10p_weight=0.06195, time=1.72
iter=200, top10p_weight=0.08773, time=1.77
iter=201, top10p_weight=0.07619, time=2.11
iter=202, top10p_weight=0.08876, time=2.16
