/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=130, top_10p_weight=0.8089, time=7.74
iter=131, top_10p_weight=0.7336, time=7.53
iter=132, top_10p_weight=0.7114, time=7.69
iter=133, top_10p_weight=0.7346, time=7.68
iter=134, top_10p_weight=0.7835, time=7.67
iter=135, top_10p_weight=0.874, time=7.77
iter=136, top_10p_weight=0.7589, time=7.72
iter=137, top_10p_weight=0.7388, time=8.22
iter=138, top_10p_weight=0.6883, time=7.85
iter=139, top_10p_weight=0.7881, time=7.8
iter=140, top_10p_weight=0.8649, time=7.85
iter=141, top_10p_weight=0.8427, time=7.95
iter=142, top_10p_weight=0.823, time=8.05
iter=143, top_10p_weight=0.8946, time=8.5
iter=144, top_10p_weight=0.9352, time=8.1
iter=145, top_10p_weight=0.8034, time=8.14
iter=146, top_10p_weight=0.7618, time=8.18
iter=147, top_10p_weight=0.8346, time=8.13
iter=148, top_10p_weight=0.8497, time=8.2
iter=149, top_10p_weight=0.7524, time=8.22
iter=150, top_10p_weight=0.7744, time=8.32
iter=151, top_10p_weight=0.8361, time=8.37
iter=152, top_10p_weight=0.8412, time=8.42
iter=153, top_10p_weight=0.8747, time=8.45
iter=154, top_10p_weight=0.8854, time=8.52
iter=155, top_10p_weight=0.7536, time=8.67
iter=156, top_10p_weight=0.924, time=8.72
iter=157, top_10p_weight=0.9035, time=8.74
iter=158, top_10p_weight=0.8947, time=8.67
iter=159, top_10p_weight=0.8523, time=8.67
iter=160, top_10p_weight=0.8346, time=8.75
iter=161, top_10p_weight=0.9223, time=8.8
iter=162, top_10p_weight=0.8766, time=8.87
iter=163, top_10p_weight=0.9294, time=8.87
iter=164, top_10p_weight=0.9229, time=9.03
iter=165, top_10p_weight=0.6297, time=8.98
iter=166, top_10p_weight=0.8258, time=9.34
iter=167, top_10p_weight=0.8961, time=9.12
iter=168, top_10p_weight=0.7627, time=9.35
iter=169, top_10p_weight=0.9321, time=9.6
iter=170, top_10p_weight=0.9244, time=9.28
iter=171, top_10p_weight=0.7848, time=9.31
iter=172, top_10p_weight=0.8115, time=9.38
iter=173, top_10p_weight=0.7534, time=9.79
iter=174, top_10p_weight=0.7111, time=9.56
iter=175, top_10p_weight=0.6522, time=9.73
iter=176, top_10p_weight=0.7928, time=9.64
iter=177, top_10p_weight=0.6012, time=10.0
iter=178, top_10p_weight=0.7915, time=9.72
iter=179, top_10p_weight=0.7866, time=10.0
iter=180, top_10p_weight=0.7412, time=10.3
iter=181, top_10p_weight=0.7402, time=10.2
iter=182, top_10p_weight=0.7352, time=10.4
iter=183, top_10p_weight=0.7717, time=10.0
iter=184, top_10p_weight=0.8067, time=10.6
iter=185, top_10p_weight=0.8066, time=10.6
iter=186, top_10p_weight=0.7266, time=10.3
iter=187, top_10p_weight=0.8607, time=10.8
iter=188, top_10p_weight=0.8147, time=10.3
iter=189, top_10p_weight=0.7656, time=10.9
iter=190, top_10p_weight=0.687, time=10.5
iter=191, top_10p_weight=0.805, time=10.9
iter=192, top_10p_weight=0.8442, time=11.0
iter=193, top_10p_weight=0.8036, time=10.5
iter=194, top_10p_weight=0.7877, time=10.7
iter=195, top_10p_weight=0.8614, time=10.8
