/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=135, top10p_weight=0.07404, time=1.9
iter=136, top10p_weight=0.063, time=1.87
iter=137, top10p_weight=0.04906, time=1.82
iter=138, top10p_weight=0.04318, time=1.82
iter=139, top10p_weight=0.07519, time=1.8
iter=140, top10p_weight=0.06801, time=1.88
iter=141, top10p_weight=0.00424, time=1.85
iter=142, top10p_weight=0.06127, time=1.83
iter=143, top10p_weight=0.06971, time=1.73
iter=144, top10p_weight=0.0859, time=1.85
iter=145, top10p_weight=0.06552, time=1.71
iter=146, top10p_weight=0.05936, time=1.82
iter=147, top10p_weight=0.05248, time=1.85
iter=148, top10p_weight=0.05995, time=1.8
iter=149, top10p_weight=0.05954, time=1.83
iter=150, top10p_weight=0.05526, time=1.75
iter=151, top10p_weight=0.07161, time=1.75
iter=152, top10p_weight=0.06624, time=1.82
iter=153, top10p_weight=0.06324, time=1.8
iter=154, top10p_weight=0.04843, time=1.88
iter=155, top10p_weight=0.07392, time=1.86
iter=156, top10p_weight=0.06534, time=1.82
iter=157, top10p_weight=0.06563, time=1.9
iter=158, top10p_weight=0.06925, time=1.92
iter=159, top10p_weight=0.0594, time=1.79
iter=160, top10p_weight=0.05063, time=1.87
iter=161, top10p_weight=0.07562, time=1.82
iter=162, top10p_weight=0.05274, time=1.85
iter=163, top10p_weight=0.06661, time=1.82
iter=164, top10p_weight=0.07683, time=1.93
iter=165, top10p_weight=0.04149, time=1.9
iter=166, top10p_weight=0.07406, time=2.06
iter=167, top10p_weight=0.01429, time=1.88
iter=168, top10p_weight=0.06846, time=2.41
iter=169, top10p_weight=0.06287, time=2.21
iter=170, top10p_weight=0.06618, time=2.07
iter=171, top10p_weight=0.05069, time=1.92
iter=172, top10p_weight=0.0579, time=2.02
iter=173, top10p_weight=0.05775, time=2.25
iter=174, top10p_weight=0.05651, time=2.28
iter=175, top10p_weight=0.05618, time=2.25
iter=176, top10p_weight=0.06028, time=2.25
iter=177, top10p_weight=0.04526, time=1.99
iter=178, top10p_weight=0.063, time=2.25
iter=179, top10p_weight=0.05397, time=2.25
iter=180, top10p_weight=0.05115, time=2.23
iter=181, top10p_weight=0.05317, time=2.3
iter=182, top10p_weight=0.06697, time=2.29
iter=183, top10p_weight=0.06015, time=2.15
iter=184, top10p_weight=0.06594, time=2.35
iter=185, top10p_weight=0.04743, time=2.68
iter=186, top10p_weight=0.04763, time=2.21
iter=187, top10p_weight=0.07438, time=2.17
iter=188, top10p_weight=0.05466, time=2.2
iter=189, top10p_weight=0.05888, time=2.67
iter=190, top10p_weight=0.04878, time=2.18
iter=191, top10p_weight=0.05376, time=2.48
iter=192, top10p_weight=0.07644, time=2.48
iter=193, top10p_weight=0.05846, time=2.37
iter=194, top10p_weight=0.05203, time=2.32
iter=195, top10p_weight=0.06551, time=2.65
iter=196, top10p_weight=0.06387, time=2.35
iter=197, top10p_weight=0.06314, time=2.33
iter=198, top10p_weight=0.05813, time=2.23
iter=199, top10p_weight=0.05541, time=2.13
iter=200, top10p_weight=0.06055, time=2.4
iter=201, top10p_weight=0.08408, time=2.25
iter=202, top10p_weight=0.07386, time=2.17
iter=203, top10p_weight=0.06915, time=2.08
iter=204, top10p_weight=0.05969, time=2.15
iter=205, top10p_weight=0.04934, time=2.35
iter=206, top10p_weight=0.0604, time=2.2
iter=207, top10p_weight=0.07407, time=2.25
iter=208, top10p_weight=0.06268, time=2.17
iter=209, top10p_weight=0.05762, time=2.27
iter=210, top10p_weight=0.08228, time=2.21
iter=211, top10p_weight=0.05444, time=2.19
iter=212, top10p_weight=0.06034, time=2.26
iter=213, top10p_weight=0.06374, time=2.4
iter=214, top10p_weight=0.004162, time=2.2
iter=215, top10p_weight=0.06953, time=2.59
iter=216, top10p_weight=0.06613, time=2.44
iter=217, top10p_weight=0.05903, time=2.23
iter=218, top10p_weight=0.07224, time=2.34
iter=219, top10p_weight=0.07053, time=2.12
iter=220, top10p_weight=0.06341, time=2.1
iter=221, top10p_weight=0.05789, time=2.28
iter=222, top10p_weight=0.0614, time=2.26
iter=223, top10p_weight=0.07133, time=2.36
iter=224, top10p_weight=0.0524, time=2.34
iter=225, top10p_weight=0.06963, time=2.2
iter=226, top10p_weight=0.04858, time=2.63
iter=227, top10p_weight=0.05031, time=2.53
iter=228, top10p_weight=0.06858, time=2.79
iter=229, top10p_weight=0.07934, time=2.65
iter=230, top10p_weight=0.06516, time=2.43
iter=231, top10p_weight=0.05578, time=3.0
iter=232, top10p_weight=0.06054, time=2.67
iter=233, top10p_weight=0.06, time=3.25
iter=234, top10p_weight=0.06353, time=2.82
iter=235, top10p_weight=0.04802, time=3.35
iter=236, top10p_weight=0.005036, time=2.78
